order_id,product_id
11,405
11,410
11,408
11,594
11,569
11,543
11,526
11,546
11,550
11,551
11,555
11,497
11,498
11,499
11,519
11,622
11,571
11,421
11,516
11,387
11,388
11,384
39,628
39,574
39,573
39,569
39,405
39,559
39,410
39,407
39,408
39,594
39,570
39,519
39,622
39,421
39,516
39,387
39,388
39,384
40,628
40,627
40,612
40,368
40,369
40,384
40,387
40,405
40,410
40,407
40,519
40,612
40,605
41,628
41,405
41,410
41,407
41,543
41,519
41,546
41,550
41,551
41,555
41,560
41,554
41,561
41,612
41,605
42,612
42,605
42,410
42,407
42,594
42,569
42,570
42,543
42,519
42,546
42,550
42,551
42,555
42,560
42,554
42,561
43,410
43,407
43,408
43,594
43,569
43,543
43,543
43,546
43,550
43,551
43,555
43,519
43,622
43,613
43,374
43,371
43,379
43,542
43,572
44,573
44,574
44,575
44,576
44,410
44,407
44,497
44,498
44,499
44,519
44,546
44,550
44,551
44,555
44,571
45,407
45,497
45,498
45,499
45,519
45,612
45,605
45,405
45,410
46,407
46,519
46,612
46,605
46,457
46,514
46,511
46,445
46,453
46,453
46,405
46,410
47,407
47,594
47,569
47,570
47,519
47,543
47,546
47,550
47,551
47,555
47,497
47,498
47,499
47,612
47,605
47,405
47,410
48,407
48,543
48,546
48,550
48,551
48,555
48,519
48,602
48,622
48,388
48,398
48,384
48,612
48,605
48,405
48,410
49,407
49,543
49,546
49,550
49,551
49,555
49,560
49,554
49,561
49,519
49,612
49,605
49,405
49,410
50,407
50,497
50,498
50,499
50,519
50,612
50,605
50,405
50,410
51,407
51,560
51,554
51,561
51,519
51,603
51,585
51,472
51,602
51,550
51,405
51,410
